"Marca temporal","Indique la Comunidad Autónoma en la que reside","Marque la opción que mejor describa su situación","Escriba su Código Postal","Indique su distrito","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su nivel máximo de estudios","En una escala del 1 al 5 valore la rapidez con la que el gobierno central está tomando medidas contra la pandemia","¿Cuál es la información respecto a la crisis del COVID-19 que más le importa conocer?","¿Qué medios utiliza para informarse sobre el COVID-19?","¿Cree que algún grupo de edad está menos informado respecto al COVID-19?","Según este gráfico:","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Central]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Autonómico]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Local]","Indique los métodos de propagación del COVID-19 según las fuentes oficiales","Indique su año de nacimiento (4 cifras)","Indique su sexo"
"2020/04/28 9:04:35 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Fuentes oficiales del Gobierno;Blogs de periodismo","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","2","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","2002","Femenino"
"2020/04/28 9:05:05 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46025","Benicalap","","","","","","","","","","","","","","","","Benicalap","","","","Universitario","3","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Instagram;Facebook","Personas adultas","Hay aproximadamente 100.000 casos de recuperados en España","5","5","5","Propagación a través del aire;Propagación por gotas al toser y estornudar","1976","Masculino"
"2020/04/28 9:06:10 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Universitario","1","Fallecidos","TV;Periódicos digitales;Twitter;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","1","No lo sé","Propagación por gotas al toser y estornudar","2000","Masculino"
"2020/04/28 9:08:27 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Ingresados en la UCI","Fuentes oficiales del Gobierno;Periódicos digitales","Personas de la tercera edad","La suma de casos activos y casos recuperados son los casos confirmados en España","1","1","1","La transmisión depende de varios factos, en principio se transmite por gotas y contacto pero en situaciones en que se realiza nebulozaciones la transmisión se podría dar vía aérea ","1994","Masculino"
"2020/04/28 9:09:21 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Instagram","Personas de la tercera edad","Hay aproximadamente 100.000 casos de recuperados en España","4","5","4","Propagación por gotas al toser y estornudar;Contacto con superficies infectadas","2001","Femenino"
"2020/04/28 9:09:42 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46018","L'Olivereta","","","","","","","Nou Moles","","","","","","","","","","","","","Universitario","1","Infectados","TV;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","1971","Femenino"
"2020/04/28 9:10:03 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46018","L'Olivereta","","","","","","","Nou Moles","","","","","","","","","","","","","Universitario","1","Infectados","TV;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","1971","Femenino"
"2020/04/28 9:13:20 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46011","Poblats Marítims","","","","","","","","","","","La Malva-rosa","","","","","","","","","Bachillerato / Ciclos Formativos","3","Recuperados","TV;Fuentes oficiales del Gobierno;Otras redes sociales","Personas de la tercera edad","Hay aproximadamente 100.000 casos de recuperados en España","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","1985","Femenino"
"2020/04/28 9:14:44 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","F.P.","3","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Instagram;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación por gotas al toser y estornudar","1979","Masculino"
"2020/04/28 9:16:14 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","4","Recuperados","Fuentes oficiales del Gobierno","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","5","4","No lo sé","Propagación por gotas al toser y estornudar","1962","Masculino"
"2020/04/28 9:16:37 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46011","Poblats Marítims","","","","","","","","","","","El Cabanyal - el Canyamelar","","","","","","","","","Universitario","5","Fallecidos","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Blogs de periodismo;Instagram;Facebook","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación a través del aire;Propagación por gotas al toser y estornudar","1994","Femenino"
"2020/04/28 9:17:57 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46022","Poblats Marítims","","","","","","","","","","","Beteró","","","","","","","","","Educación Secundaria Obligatoria","1","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1978","Femenino"
"2020/04/28 9:18:17 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Educación Secundaria Obligatoria","3","Recuperados","TV;Instagram","Personas de la tercera edad","Hay aproximadamente 100.000 casos de recuperados en España","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","2000","Prefiero no decirlo"
"2020/04/28 9:18:34 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Periódicos digitales;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","4","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","2000","Femenino"
"2020/04/28 9:18:37 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46920","Pobles de l'Oest","","","","","","","","","","","","","","","","","","Beniferri","","Educación Secundaria Obligatoria","1","Infectados","TV;Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","2","3","Propagación por gotas al toser y estornudar","2003","Femenino"
"2020/04/28 9:19:53 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","2","Recuperados","TV;Radio;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","2","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","1972","Masculino"
"2020/04/28 9:20:30 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46008","Extramurs","Arrancapins","","","","","","","","","","","","","","","","","","","Universitario","1","Fallecidos","TV","Personas jóvenes","","1","","","Propagación por gotas al toser y estornudar","1970","Femenino"
"2020/04/28 9:20:42 p. m. EET","Comunidad Valenciana","Me desplazo ahora de manera habitual a Valencia para el cuidado de familiares o enfermos u otra situación","46011","Poblats Marítims","","","","","","","","","","","La Malva-rosa","","","","","","","","","Bachillerato / Ciclos Formativos","2","La gravedad real de la enfermedad","TV;Radio;Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","","1","1","1","Propagación por gotas al toser y estornudar","1984","Femenino"
"2020/04/28 9:20:59 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46001","Benimaclet","","","","","","","","","","","","","","Benimaclet","","","","","","Universitario","3","Fallecidos","TV;Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","Hay aproximadamente 100.000 casos de recuperados en España","1","1","1","Propagación por gotas al toser y estornudar","1993","Femenino"
"2020/04/28 9:21:04 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Safranar","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Fuentes oficiales del Gobierno","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","2","1","Propagación por gotas al toser y estornudar","1949","Femenino"
"2020/04/28 9:21:13 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46008","Extramurs","Arrancapins","","","","","","","","","","","","","","","","","","","Universitario","1","Disponibilidad de PCR y medidas de prevención.","TV;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","No lo sé","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","1969","Prefiero no decirlo"
"2020/04/28 9:21:51 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","TV;Instagram;Facebook","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","5","5","5","Propagación por gotas al toser y estornudar","1997","Femenino"
"2020/04/28 9:22:11 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46011","Poblats Marítims","","","","","","","","","","","El Cabanyal - el Canyamelar","","","","","","","","","Bachillerato / Ciclos Formativos","2","Fallecidos","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España hay aproximadamente 80.000 casos activos","3","4","4","Propagación por gotas al toser y estornudar","1989","Femenino"
"2020/04/28 9:23:15 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Medio del virus: medio en que resiste o no, forma de contagio, cómo combatirlo. ","TV;Radio;Fuentes oficiales del Gobierno;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","1977","Masculino"
"2020/04/28 9:23:19 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","Sant Marcel·lí","","","","","","","","","","","Universitario","4","Infectados","TV;Periódicos digitales;Facebook","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","3","3","Propagación a través del aire;Propagación por gotas al toser y estornudar","1954","Femenino"
"2020/04/28 9:24:10 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","2","Infectados","TV;Radio;Fuentes oficiales del Gobierno;Periódicos digitales;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España hay aproximadamente 80.000 casos activos","2","1","2","Propagación por gotas al toser y estornudar","2006","Masculino"
"2020/04/28 9:24:19 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46006","Quatre Carreres","","","","","","","","","","Malilla","","","","","","","","","","Universitario","2","Infectados","TV;Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","2","No lo sé","Propagación por gotas al toser y estornudar","1970","Femenino"
"2020/04/28 9:24:24 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46023","Poblats Marítims","","","","","","","","","","","Beteró","","","","","","","","","Universitario","3","Fallecidos","TV","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","2","1","Propagación por gotas al toser y estornudar","1956","Masculino"
"2020/04/28 9:24:46 p. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Recuperados","TV;Radio;Periódicos digitales;Amigos;Twitter;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar;Objetos con gotas","2002","Femenino"
"2020/04/28 9:25:08 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","2","Infectados","TV;Fuentes oficiales del Gobierno;Blogs de periodismo;Facebook","Personas jóvenes","La suma de casos activos y casos recuperados son los casos confirmados en España","2","2","1","Propagación por gotas al toser y estornudar","1982","Femenino"
"2020/04/28 9:25:18 p. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Hospitalizados (NO en UCI)","TV;Periódicos digitales;Amigos","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","4","5","Propagación por gotas al toser y estornudar","1990","Femenino"
"2020/04/28 9:25:25 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Infectados","TV","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","2","3","Propagación a través del aire","2001","Masculino"
"2020/04/28 9:26:34 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Infectados","Blogs de periodismo; Iker Jimenez , Doctor Gaona , Pablo Fuente","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","4","5","Propagación por gotas al toser y estornudar","1999","Masculino"
"2020/04/28 9:29:01 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Pobles del Sud","","","","","","","","","","","","","","","","","","","La Torre","Universitario","1","Recuperados","TV","Personas de la tercera edad","La suma de casos activos y casos recuperados son los casos confirmados en España","1","1","1","Propagación por gotas al toser y estornudar","1994","Femenino"
"2020/04/28 9:30:13 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Fallecidos","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","1999","Masculino"
"2020/04/28 9:30:40 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","3","Recuperados","TV;Fuentes oficiales del Gobierno;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación por gotas al toser y estornudar","1968","Femenino"
"2020/04/28 9:31:22 p. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Recuperados","TV;Otras redes sociales","No creo que haya diferencias entre los diferentes grupos de edad","Hay aproximadamente 100.000 casos de recuperados en España","2","3","3","Propagación por gotas al toser y estornudar;Al tocar lugares donde se encuentre el virus y llevartelo a alguna zona mucosa","1997","Femenino"
"2020/04/28 9:32:39 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46023","Poblats Marítims","","","","","","","","","","","El Grau","","","","","","","","","Universitario","5","Recuperados","TV;Radio;Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","5","5","5","Propagación por gotas al toser y estornudar","1960","Femenino"
"2020/04/28 9:33:02 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","Hay aproximadamente 100.000 casos de recuperados en España","3","2","2","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 9:33:26 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46021","Algirós","","","","","","","","","","","","","L'Amistat","","","","","","","Universitario","1","Recuperados","TV;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","1973","Femenino"
"2020/04/28 9:35:36 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","Sant Marcel·lí","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Recuperados","TV;Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","4","1","Propagación por gotas al toser y estornudar","2000","Femenino"
"2020/04/28 9:36:29 p. m. EET","Comunidad Valenciana","Vivo en Valencia","","Pobles del Nord","","","","","","","","","","","","","","","","","Cases de Bàrcena","","","Bachillerato / Ciclos Formativos","5","Infectados","TV;Fuentes oficiales del Gobierno;Twitter","Personas jóvenes","La suma de casos activos y casos recuperados son los casos confirmados en España","5","No lo sé","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 9:36:49 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Radio;Diarios de papel","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","No lo sé","Propagación por gotas al toser y estornudar","1966","Masculino"
"2020/04/28 9:37:03 p. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Fallecidos","TV;Radio;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","4","4","2","Propagación por gotas al toser y estornudar","1969","Masculino"
"2020/04/28 9:37:59 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46008","Extramurs","El Botànic","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Ingresados en la UCI","TV;Radio;Periódicos digitales;Facebook","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","No lo sé","Propagación por gotas al toser y estornudar;pervive en algunas superficies y puedo cogerlo al tocar","1961","Masculino"
"2020/04/28 9:38:23 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","Sant Marcel·lí","","","","","","","","","","","Educación Secundaria Obligatoria","3","Fallecidos","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Twitter;Instagram;Facebook","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","3","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","2000","Masculino"
"2020/04/28 9:41:06 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","5","Cuando habrá vacuna","Linkedin;La vecina del 4 lo grita todo cuando se entera","Personas adultas","La suma de casos activos y casos recuperados son los casos confirmados en España","5","5","5","Del murciegalo al pangolin del pangolin al chino juan del chino juan a más chinos y de más chinos a todo el mundo de todo el mundo a milan de Milán a Valencia de valencia a españa","1950","Prefiero no decirlo"
"2020/04/28 9:43:22 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Como piensan salvar la economía ","TV;Radio;Fuentes oficiales del Gobierno;Periódicos digitales;Profesores investigadores de mi universidad","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 9:43:56 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","Periódicos digitales;Otras redes sociales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","2","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","1967","Masculino"
"2020/04/28 9:44:17 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46019","","","","","","","","","","","","","","","","Torrefiel","","","","","Universitario","4","Infectados","TV","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación por gotas al toser y estornudar","1969","Masculino"
"2020/04/28 9:45:24 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","3","No lo sé","Propagación por gotas al toser y estornudar","1976","Femenino"
"2020/04/28 9:47:20 p. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Instagram;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","2002","Femenino"
"2020/04/28 9:48:00 p. m. EET","Comunidad Valenciana","Me desplazo ahora de manera habitual a Valencia para el cuidado de familiares o enfermos u otra situación","","Pobles del Nord","","","","","","","","","","","","","","","","","Poble Nou","","","Universitario","1","Infectados","TV;Radio","Personas jóvenes","Hay aproximadamente 100.000 casos de recuperados en España","1","1","1","Propagación por gotas al toser y estornudar","1967","Femenino"
"2020/04/28 9:51:57 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","1","Recuperados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","4","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 9:52:36 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Recuperados","TV;Periódicos digitales;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","3","4","Propagación por gotas al toser y estornudar","1982","Femenino"
"2020/04/28 9:53:09 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46006","La Saïdia","","","","","Trinitat","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Fallecidos","TV;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1998","Masculino"
"2020/04/28 9:53:17 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Fallecidos","TV;Radio;Otras redes sociales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","","","Propagación por gotas al toser y estornudar;Contacto con objetos a través de las manos a ojos, boca y nariz","1940","Masculino"
"2020/04/28 9:53:18 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46019","Rascanya","","","","","","","","","","","","","","","Orriols","","","","","Bachillerato / Ciclos Formativos","2","Recuperados","TV;Instagram;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","3","4","Propagación por gotas al toser y estornudar","2003","Femenino"
"2020/04/28 9:53:23 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","2","Recuperados","Fuentes oficiales del Gobierno;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","3","1","Propagación por gotas al toser y estornudar","2002","Masculino"
"2020/04/28 9:55:06 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","2","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","1994","Masculino"
"2020/04/28 9:55:29 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46007","Jesús","","","","","","","","","La Raiosa","","","","","","","","","","","Universitario","1","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas jóvenes","La suma de casos activos y casos recuperados son los casos confirmados en España","2","4","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 9:56:05 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46025","Benicalap","","","","","","","","","","","","","","","","Benicalap","","","","Universitario","1","Infectados","TV;Radio;Fuentes oficiales del Gobierno;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","3","3","Propagación por gotas al toser y estornudar","1968","Femenino"
"2020/04/28 9:57:54 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Twitter;Instagram;Otras redes sociales","Personas jóvenes","La suma de casos activos y casos recuperados son los casos confirmados en España","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 9:59:11 p. m. EET","Castilla-La Mancha","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Recuperados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Facebook","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","1","1","Propagación por gotas al toser y estornudar","1970","Masculino"
"2020/04/28 9:59:47 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Ingresados en la UCI","TV;Radio;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Otras redes sociales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","1","3","Propagación a través del aire;Propagación por gotas al toser y estornudar;Fluidos corporales","1966","Masculino"
"2020/04/28 9:59:48 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Educación Primaria","2","En general todo","TV;Fuentes oficiales del Gobierno;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","No lo sé","Propagación por gotas al toser y estornudar","1973","Femenino"
"2020/04/28 9:59:50 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","2","Infectados","TV;Instagram","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","","","","Propagación a través del aire;Propagación por gotas al toser y estornudar","2006","Femenino"
"2020/04/28 10:00:54 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Fallecidos","TV;Radio;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","1","1","1","Propagación por gotas al toser y estornudar","1983","Femenino"
"2020/04/28 10:01:45 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46011","","","Gran Vía","","","","","","","","","","","","","","","","","","Universitario","3","Hospitalizados (NO en UCI)","Radio;Periódicos digitales;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","","1","2","2","Propagación por gotas al toser y estornudar","1966","Masculino"
